Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,BCDDY,BCDDM,BCDDE,TVTVR,NETDF,MIOPM,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
2009-01-03,1.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000271797180176,0.0,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2009-01-04,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2009-01-06,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2009-01-07,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2009-01-08,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2009-01-09,1.0,0.0,0.0,750.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205039978027,0.0,0.0,0.0,6.95943774815e-07,0.0,0.0,0.0,700.0,0.0,0.0,1.0,14.0,14.0,15.0,14.0,0.0
2009-01-10,1.0,0.0,0.0,2300.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205039978027,0.0,0.0,0.0,1.54101835852e-06,0.0,0.0,0.0,1550.0,0.0,0.0,1.0,31.0,31.0,46.0,31.0,0.0
2009-01-11,1.0,0.0,0.0,7600.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205408852055,0.0,0.0,0.0,5.2692885807399995e-06,0.0,0.0,0.0,5300.0,0.0,0.0,1.0,106.0,106.0,152.0,106.0,0.0
2009-01-12,1.0,0.0,0.0,12050.0,2.0,0.0,0.0,153.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000221477465683,0.0,0.0,0.0,4.42421399704e-06,0.0,18541.6666667,0.0,4601.0,0.0,24.0,1.0,96.0,95.0,247.0,95.0,0.0
