,MKPRU
501 ,0.0
509 ,0.0
514 ,0.0
515 ,0.0
521 ,0.0
548 ,0.0
550 ,0.0
555 ,0.0
557 ,0.0
562 ,0.0
563 ,0.0
572 ,0.0
578 ,0.0
584 ,0.0
588 ,0.0
593,0.0688
595 ,0.066899
599 ,0.0665
609 ,0.0613
611 ,0.064
617 ,0.064999
620 ,0.175
634 ,0.06219
645 ,0.12
650 ,0.119
652,0.1045
655 ,0.103
656,0.109
660 ,0.15
662,0.19
665,0.1919
667 ,0.1975
668 ,0.1955
671 ,0.2399
672 ,0.29
675 ,0.3368
678 ,0.251
680,0.299
688 ,0.282
694,0.28461
699 ,0.2553
702,0.225
707 ,0.2275
710 ,0.23
723,0.265
729 ,0.299996
733 ,0.299
735 ,0.322898
751 ,0.443
759 ,0.95
762 ,0.88
764 ,0.92
766 ,0.9
768,1.1
773 ,1.085
791 ,0.918901
793 ,0.909
796 ,0.87
798 ,0.9197
805,0.8240000000000001
807,0.7883
808 ,0.799646
812,0.905
814 ,0.8575
816,0.795
818 ,0.79997
819 ,0.79697
821 ,0.79
828 ,0.7809999999999999
829 ,0.897
834,1.085
844 ,1.95
847 ,4.14996
851 ,3.58
853,3.5998
854 ,3.7
857 ,5.2
860 ,8.45
863 ,8.5
865,7.874
866,7.34
867,7.1
870 ,7.45
884 ,19.23
886 ,31.9099
890 ,24.99
892 ,20.99
895 ,19.3898
900 ,15.05
902 ,16.7501
906 ,17.52
910 ,16.49
911,15.7
912 ,15.85
915,16.25
917 ,15.0
920,14.639879999999998
925 ,13.96
935 ,14.13
938 ,13.8
945 ,11.0
950,10.4959
957 ,11.67
959 ,11.798
965 ,10.3
966 ,9.11
969 ,9.15031
973,8.7138
1006,4.93
1026,2.8760000000000003
1027,3.0499
1029,3.82717
1040,3.114
1046,2.69
1058,2.4965
1060,2.9810000000000003
1061,2.959
1069,3.1
1071,3.04
1095,5.29
1103,7.138
1107,6.98999
1108,7.18888
1109,6.98
1112,6.58
1115,6.45485
1117,6.45
1118,6.2
1124,5.638
1131,5.8494
1134,6.0
1137,5.6
1141,4.49675
1142,4.33333
1143,4.52
1147,5.197780000000002
1163,4.99
1166,5.4444
1169,5.3998
1177,4.68294
1178,4.73793
1181,4.86092
1186,5.01
1192,4.8
1194,4.8941
1196,4.94464
1201,5.1782
1205,5.3287
1207,5.2
1213,5.0
1217,5.15
1229,5.0899800000000015
1232,5.14291
1238,5.15
1239,5.149
1243,5.1725
1253,5.6999900000000014
1255,5.54545
1259,6.165
1266,6.79962
1275,6.694
1278,6.55
1287,7.9
1289,7.64877
1293,9.27491
1298,8.96
1301,8.95
1304,9.15
1306,9.54
1307,9.8
1317,11.765
1331,10.61913
1339,10.5
1342,11.17
1346,11.127
1347,11.19401
1353,11.9625
1357,12.57001
1362,12.28
1366,12.47499
1383,11.99
1384,11.95998
1389,12.0
1394,10.61
1397,11.14
1404,11.21603
1406,11.07
1408,10.939
1409,11.18
1412,11.114
1415,11.832
1416,11.79998
1418,11.784
1419,12.28
1421,12.4108
1423,12.6515
1447,13.72
1450,13.48547
1457,13.56998
1472,14.3
1474,14.689
1482,19.18999
1486,18.45
1493,21.05
1494,20.79
1495,21.3339
1507,26.81565
1517,33.50001
1526,46.01112
1532,47.25005
1535,47.65
1536,57.76
1541,70.1
1544,88.9
1549,102.51001
1552,131.99899
1568,123.86
1576,135.98998999999998
1580,105.00003
1586,113.95001
1595,124.49
1603,132.69
1610,129.19945
1614,122.4051
1625,100.0
1627,107.38999
1635,104.40565
1648,76.32791
1653,94.75
1656,97.97
1660,88.93999000000002
1671,104.19
1677,105.6
1678,101.9
1686,98.51
1687,98.39
1688,99.02
1689,102.07
1691,109.75
1692,111.01
1693,107.48
1697,117.52
1699,119.48
1707,122.44
1708,120.15
1710,121.66
1714,128.29
1728,125.6
1729,126.5
1736,121.51
1738,123.6
1742,126.84
1744,129.74
1747,141.83
1752,177.07
1755,195.78
1756,172.81
1758,189.06
1759,196.25
1765,206.85
1766,225.1
1768,258.23
1771,359.76
1776,416.5
1778,433.53
1785,837.99
1792,1119.96
1794,992.27
1801,871.0
1804,845.75
1815,639.9
1821,714.79
1824,746.9
1829,934.21
1830,867.38
1836,807.83
1843,831.72
1851,800.2
1858,809.05
1864,665.0
1879,528.0
1886,677.61
1902,590.0
1904,557.0
1905,567.13
1919,459.67
1925,424.98
1929,511.5
1933,500.19
1934,496.5
1936,487.3
1946,434.5
1947,436.21
1948,427.83
1949,430.33
1951,441.5
1952,452.02
1954,435.0
1960,449.08
1977,673.9
1981,654.3
1983,650.93
1984,649.89
1985,639.99
1989,560.49
1991,597.65
1992,604.6
1994,593.33
2001,588.97
2003,596.0
2009,632.78
2014,619.78
2017,630.9
2021,626.0
2030,595.88
2047,569.54
2059,510.75
2067,482.59
2069,472.76
2077,469.0
2079,479.86
2080,475.49
2086,415.56
2087,406.3
2088,400.98
2091,408.08
2092,405.14
2099,363.75
2105,378.94
2107,359.99
2108,364.83
2121,348.89
2126,337.0
2132,341.99
2134,342.26
2136,356.34
2137,375.87
2148,356.9
2156,377.22
2157,375.96
2159,381.93
2168,356.1
2171,353.28
2183,328.09
2185,317.5
2188,317.4
2189,315.7
2191,302.33
2192,270.93
2198,278.0
2202,176.5
2210,233.9
2211,233.03
2218,230.11
2228,220.39
2250,275.8
2251,281.65
2252,265.63
2253,272.12
2254,275.83
2255,273.87
2260,289.51
2265,265.85
2268,257.83
2276,244.05
2277,245.18
2285,255.48
2297,225.72
2304,218.42
2311,240.51
2315,233.99
2316,244.72
2320,241.51
2327,232.04
2333,235.65
2340,222.4
2342,226.29
2345,224.49
2346,222.6
2351,229.98
2352,230.22
2357,248.25
2358,246.45
2363,240.64
2368,253.8
2370,257.85
2374,270.92
2380,293.5
2386,277.99
2388,276.09
2397,295.24
2402,280.69
2412,267.89
2414,266.99
2417,257.47
2421,233.23
2423,226.04
2426,222.02
2430,228.22
2433,228.32
2434,230.68
2439,241.31
2441,240.08
2444,235.13
2452,230.2
2454,229.43
2468,245.25
2469,243.91
2479,262.44
2492,329.2
2501,381.51
2502,378.8
2504,309.9
2505,331.6
2506,332.2
2522,363.98
2531,394.99
2538,459.48
2539,454.43
2542,461.16
2544,438.7
2553,428.0
2558,433.0
2564,446.24
2572,385.28
2574,408.33
2580,394.12
2581,394.45
2591,373.04
2603,418.97
2606,434.67
2615,431.87
2620,408.86
2621,411.94
2632,408.87
2635,410.49
2638,416.47
2643,414.0
2646,416.25
2654,417.73
2655,421.63
2657,425.89
2662,425.71
2663,427.28
2667,447.25
2668,451.29
2669,459.4
2671,467.98
2673,450.0
2678,450.96
2683,457.82
2690,457.08
2695,441.25
2701,452.49
2706,531.15
2708,539.99
2712,584.5
2719,702.0665
2721,692.28
2725,760.81
2728,587.45
2731,664.9
2735,637.95
2749,657.45
2755,672.84
2758,651.58
2761,654.69
2766,654.73
2772,576.55
2774,594.27
2778,589.24
2786,576.65
2791,582.84
2796,575.22
2801,600.88
2807,625.07
2808,625.76
2811,610.92
2818,609.74
2821,604.22
2829,614.82
2837,615.65
2838,617.54
2839,639.3
2840,635.01
2849,631.92
2851,653.0
2853,655.31
2860,728.2
2865,712.0
2866,703.81
2871,703.71
2881,748.74
2885,733.67
2888,732.71
2894,754.63
2895,756.62
2896,766.11
2897,769.72
2902,778.49
2903,774.89
2910,824.21
2922,1015.97
2927,896.83
2935,822.2
2937,903.84
2944,890.32
2948,920.31
2967,1035.2
2969,1056.63
2970,1052.77
2971,1084.75
2972,1123.78
2975,1174.86
2981,1259.41
2987,1157.39
2990,1179.15
3007,1046.12
3011,1086.92
3012,1099.16
3016,1196.3
3017,1190.45
3022,1218.92
3024,1185.26
3025,1184.88
3037,1345.35
3039,1334.97
3043,1507.57
3054,1776.31
3056,1739.03
3066,2211.97
3069,2275.93
3070,2239.2
3073,2446.14
3079,2792.99
3081,2845.37
3094,2710.41
3106,2619.18
3109,2562.13
3118,2176.62
3121,2898.18
3132,2866.43
3133,2710.41
3141,3357.32
3147,4217.02
3149,4328.72
3158,4360.51
3164,4911.74
3167,4344.09
3169,4641.82
3170,4654.65
3173,4329.95
3178,3774.26
3181,4093.31
3183,3977.56
3199,4345.6
