,MKPRU
590,0.0
591,0.0769
592,0.07400000000000001
593,0.0688
594,0.0667
595,0.066899
597,0.066
600,0.066499
601,0.065
603,0.0648
605,0.06497
606,0.0649
608,0.0634
609,0.0613
611,0.064
618,0.06201
620,0.175
621,0.0619
625,0.0634
626,0.0633
627,0.0628
629,0.06281
630,0.0624
631,0.062278999999999994
633,0.06271
635,0.06192
636,0.061999
637,0.061999
638,0.0614
645,0.12
646,0.1301
647,0.099
648,0.095
651,0.109
652,0.1045
653,0.10300000000000001
656,0.109
658,0.10901
660,0.15
662,0.19
664,0.191
666,0.19899999999999998
667,0.1975
668,0.1955
670,0.23601
673,0.49999899999999997
676,0.2667
677,0.24
678,0.251
679,0.3
680,0.299
682,0.2827
683,0.28
684,0.28999899999999995
687,0.29
688,0.282
689,0.2879
690,0.28299
692,0.289
693,0.28439899999999996
694,0.28461
699,0.2553
700,0.2589
702,0.225
703,0.226
704,0.2477
705,0.2388
706,0.204
707,0.2275
709,0.22748000000000002
711,0.2468
715,0.2499
716,0.275
717,0.26909
718,0.267
719,0.25
720,0.25
721,0.25
722,0.269999
723,0.265
724,0.28
725,0.301
726,0.29999899999999996
729,0.299996
730,0.299998
733,0.299
734,0.322
735,0.322898
737,0.32899999999999996
739,0.35
740,0.405
741,0.45
742,0.4
743,0.4
744,0.4
748,0.44
749,0.4299
751,0.44299999999999995
752,0.425
755,0.45
757,0.48
759,0.95
760,0.8400989999999999
761,0.75
762,0.88
763,0.9167
764,0.92
765,0.90585
766,0.9
772,1.08
773,1.085
774,1.05019
775,1.05019
776,1.05019
778,0.954896
779,0.8796
782,0.9499
784,0.988567
787,0.97
789,0.94
790,0.9392
794,0.9072
796,0.87
797,0.9329
798,0.9197
800,0.9
802,0.89
803,0.88
804,0.850617
806,0.79
807,0.7883
808,0.799646
809,0.85
810,0.9
811,0.89
812,0.905
813,0.8958
814,0.8575
815,0.8
816,0.795
817,0.80098
818,0.79997
820,0.7998
821,0.79
822,0.71
825,0.799
828,0.7809999999999999
833,1.095
835,1.1999
836,1.19
838,1.1979
840,1.5490000000000002
844,1.95
847,4.14996
848,4.09
851,3.58
852,3.5
853,3.5998
855,3.9
857,5.2
858,6.065
860,8.45
862,8.55
864,8.38901
865,7.874
867,7.1
868,6.6036
870,7.45
873,9.33
874,8.92
875,8.735
877,9.0
878,9.4998
880,10.57
882,17.41
883,18.998
884,19.23
889,30.0
891,24.5
893,20.0
894,19.96
895,19.3898
896,17.2
897,18.8766
900,15.05
901,16.0
905,18.0
908,17.5
909,17.0
910,16.49
911,15.7
917,15.0
918,15.68
920,14.639879999999998
921,14.15
922,14.1
923,14.3
924,14.1
926,13.6901
928,14.04
929,13.9389
931,13.92
932,13.979999
933,14.7399
934,14.4
935,14.13
936,14.0
937,13.8
938,13.8
940,13.5501
942,13.1
943,11.4876543
944,11.55
945,11.0
947,8.89
948,12.1
949,10.7
950,10.4959
952,10.05
953,11.24
954,11.89
957,11.67
958,11.81
959,11.798
961,11.501
962,11.49
963,11.4
965,10.3
966,9.11
968,9.4811
969,9.150310000000001
971,8.44934
973,8.7138
974,8.593999999
975,8.467
976,7.65713
977,7.59916
978,7.31509
979,6.94
981,7.4
983,6.25
984,5.990000001
986,5.23
989,5.6
990,6.795
992,5.83001
993,5.70653
994,5.66
995,5.5
996,5.46014
998,4.989
1001,5.3
1007,4.85
1008,4.593999999999999
1010,4.25937
1011,4.14001
1012,4.206119999999999
1013,4.45
1016,3.9009
1017,3.75996
1018,2.9
1020,2.42
1022,3.3
1024,3.2
1025,3.04
1027,3.0499
1028,3.255
1029,3.8271699999999997
1031,3.388
1032,3.35
1033,3.44
1034,3.299
1035,3.21874
1036,3.21
1037,3.05
1038,3.0289
1039,3.21
1042,3.0
1044,3.0989999999999998
1046,2.69
1048,2.60031
1051,2.499
1052,2.29
1055,2.46
1056,2.56
1057,2.53125
1058,2.4965
1059,2.53899
1060,2.9810000000000003
1061,2.9589999999999996
1062,3.14
1063,3.138
1064,3.1299900000000003
1067,3.05
1073,3.34237
1074,3.3
1076,3.1933
1081,4.5
1082,4.11
1083,3.99199
1086,4.3897
1087,4.31259
1088,4.06
1089,4.18888
1090,4.33
1092,4.995
1096,5.6063
1097,6.399
1098,7.22
1099,7.015560000000001
1101,7.2
1102,6.89
1103,7.138
1104,6.997000000000001
1106,6.75
1107,6.98999
1109,6.98
1110,6.95
1112,6.58
1114,6.39
1117,6.45
1118,6.2
1120,5.74815
1123,5.65
1124,5.638
1127,6.0
