    ,Date      ,DIFF              ,TRFEE              ,MKTCP             ,TOTBC     ,MWNUS             ,MWNTD ,MWTRV             ,AVBLS                 ,BLCHS            ,ATRCT             ,MIREV             ,HRATE                 ,CPTRA              ,CPTRV              ,TRVOU             ,TOUTV             ,ETRVU       ,ETRAV             ,NTRBL             ,NADDU ,NTREP ,NTRAT    ,NTRAN ,MKPRU
0   ,2009/1/3  ,1.0               ,0.0                ,0.0               ,50.0      ,2.0               ,0     ,0.0               ,0.000271797           ,0.0              ,0.0               ,0.0               ,0.0                   ,0.0                ,0.0                ,0.0               ,50.0              ,0.0         ,0.0               ,1.0               ,1     ,1     ,1        ,1     ,0.0
1   ,2009/1/4  ,0.0               ,0.0                ,0.0               ,50.0      ,2.0               ,0     ,0.0               ,0.0                   ,0.0              ,0.0               ,0.0               ,0.0                   ,0.0                ,0.0                ,0.0               ,0.0               ,0.0         ,0.0               ,1.0               ,0     ,0     ,1        ,0     ,0.0
2   ,2009/1/5  ,0.0               ,0.0                ,0.0               ,50.0      ,2.0               ,0     ,0.0               ,0.0                   ,0.0              ,0.0               ,0.0               ,0.0                   ,0.0                ,0.0                ,0.0               ,0.0               ,0.0         ,0.0               ,1.0               ,0     ,0     ,1        ,0     ,0.0
3   ,2009/1/6  ,0.0               ,0.0                ,0.0               ,50.0      ,2.0               ,0     ,0.0               ,0.0                   ,0.0              ,0.0               ,0.0               ,0.0                   ,0.0                ,0.0                ,0.0               ,0.0               ,0.0         ,0.0               ,1.0               ,0     ,0     ,1        ,0     ,0.0
4   ,2009/1/7  ,0.0               ,0.0                ,0.0               ,50.0      ,2.0               ,0     ,0.0               ,0.0                   ,0.0              ,0.0               ,0.0               ,0.0                   ,0.0                ,0.0                ,0.0               ,0.0               ,0.0         ,0.0               ,1.0               ,0     ,0     ,1        ,0     ,0.0
5   ,2009/1/8  ,0.0               ,0.0                ,0.0               ,50.0      ,2.0               ,0     ,0.0               ,0.0                   ,0.0              ,0.0               ,0.0               ,0.0                   ,0.0                ,0.0                ,0.0               ,0.0               ,0.0         ,0.0               ,1.0               ,0     ,0     ,1        ,0     ,0.0
6   ,2009/1/9  ,1.0               ,0.0                ,0.0               ,750.0     ,2.0               ,0     ,0.0               ,0.00020504            ,0.0              ,0.0               ,0.0               ,6.96e-07              ,0.0                ,0.0                ,0.0               ,700.0             ,0.0         ,0.0               ,1.0               ,14    ,14    ,15       ,14    ,0.0
7   ,2009/1/10 ,1.0               ,0.0                ,0.0               ,2300.0    ,2.0               ,0     ,0.0               ,0.00020504            ,0.0              ,0.0               ,0.0               ,1.54e-06              ,0.0                ,0.0                ,0.0               ,1550.0            ,0.0         ,0.0               ,1.0               ,31    ,31    ,46       ,31    ,0.0
8   ,2009/1/11 ,1.0               ,0.0                ,0.0               ,7600.0    ,2.0               ,0     ,0.0               ,0.000205409           ,0.0              ,0.0               ,0.0               ,5.27e-06              ,0.0                ,0.0                ,0.0               ,5300.0            ,0.0         ,0.0               ,1.0               ,106   ,106   ,152      ,106   ,0.0
9   ,2009/1/12 ,1.0               ,0.0                ,0.0               ,12050.0   ,2.0               ,0     ,0.0               ,0.000221477           ,0.0              ,0.0               ,0.0               ,4.42e-06              ,0.0                ,18541.66667        ,0.0               ,4601.0            ,0.0         ,24.0              ,1.0               ,96    ,95    ,247      ,95    ,0.0
10  ,2009/1/13 ,1.0               ,0.0                ,0.0               ,17800.0   ,2.0               ,0     ,0.0               ,0.000207976           ,0.0              ,0.0               ,0.0               ,5.72e-06              ,0.0                ,57500.0            ,0.0               ,5778.0            ,0.0         ,10.0              ,1.0               ,117   ,116   ,363      ,116   ,0.0
11  ,2009/1/14 ,1.0               ,0.0                ,0.0               ,24100.0   ,2.0               ,0     ,0.0               ,0.000205888           ,0.0              ,0.0               ,0.0               ,6.26e-06              ,0.0                ,0.0                ,0.0               ,6300.0            ,0.0         ,0.0               ,1.0               ,126   ,126   ,489      ,126   ,0.0
12  ,2009/1/15 ,1.0               ,0.0                ,0.0               ,30450.0   ,2.0               ,0     ,0.0               ,0.000230549           ,0.0              ,0.0               ,0.0               ,6.31e-06              ,0.0                ,1533.816425        ,0.0               ,6911.0            ,0.0         ,414.0             ,1.0               ,136   ,136   ,625      ,136   ,0.0
13  ,2009/1/16 ,1.0               ,0.0                ,0.0               ,36250.0   ,2.0               ,0     ,0.0               ,0.000208189           ,0.0              ,0.0               ,0.0               ,5.77e-06              ,0.0                ,5800.0             ,0.0               ,5900.0            ,0.0         ,100.0             ,1.0               ,117   ,117   ,742      ,117   ,0.0
