,MKPRU
590,0.0
593,0.0688
597,0.066
600,0.066499
605,0.06497
607,0.0629
610,0.0629
612,0.06185
613,0.06201
623,0.0609
625,0.0634
632,0.062206
637,0.061999
639,0.062
644,0.12001
646,0.1301
649,0.105
652,0.1045
654,0.1024
656,0.109
662,0.19
664,0.191
665,0.1919
666,0.199
676,0.2667
679,0.3
680,0.299
685,0.28300000000000003
692,0.289
694,0.28461
697,0.225
701,0.235
702,0.225
703,0.226
705,0.2388
708,0.228
723,0.265
728,0.299998
737,0.329
739,0.35
741,0.45
742,0.4
746,0.3401
747,0.3675
755,0.45
756,0.446
768,1.1
771,1.08
779,0.8796
783,1.0
785,0.96
786,0.949231
795,0.8837510000000001
801,0.899885
803,0.88
805,0.8240000000000001
807,0.7883
810,0.9
812,0.905
815,0.8
816,0.795
817,0.80098
834,1.085
835,1.1999
837,1.1979
842,1.7009999999999998
845,2.65
846,2.7
849,3.495
850,3.49
853,3.5998
855,3.9
858,6.065
865,7.874
866,7.34
867,7.1
873,9.33
874,8.92
876,8.4992
880,10.57
881,14.3
889,30.0
891,24.5
901,16.0
909,17.0
911,15.7
913,15.0
915,16.25
918,15.68
920,14.639879999999998
921,14.15
922,14.1
924,14.1
942,13.1
944,11.55
946,9.8
950,10.4959
951,9.89520343
953,11.24
955,11.38
958,11.81
960,11.59
962,11.49
963,11.4
964,10.96554
967,9.48
970,9.0
972,8.4989
973,8.7138
977,7.59916
981,7.4
982,7.081
984,5.9900000009
992,5.83001
994,5.66
998,4.989
1000,5.35
1001,5.3
1004,5.03
1005,5.025
1010,4.25937
1015,4.05
1016,3.9009000002
1023,3.36
1024,3.2
1030,3.65026
1040,3.114
1048,2.60031
1049,2.38998
1053,2.35
1056,2.56
1060,2.9810000000000003
1066,2.93
1067,3.05
1069,3.1
1073,3.34237
1074,3.3
1079,3.25
1081,4.5
1084,3.95
1087,4.31259
1098,7.22
1101,7.2
1102,6.89
1108,7.18888
1111,6.3
1113,6.55
1116,6.515
1121,5.76
1122,5.6
1123,5.65
1124,5.638
1127,6.0
1135,5.85
1138,4.88
1141,4.49675
1148,5.07
1149,5.00073
1151,5.0
1154,4.98888
1156,4.9
1164,4.95915
1165,5.41
1169,5.3998
1170,5.3799800000000015
1172,4.98
1180,4.84592
1183,4.95
1185,5.08
1186,5.01
1187,4.97
1189,4.96
1191,4.8
1196,4.94464
1199,4.98
1200,5.0220699999999985
1203,5.17
1204,5.48
1206,5.21799
1207,5.2
1217,5.15
1219,5.099
1220,5.0947
1225,5.0
1228,5.09
1231,5.13
1234,5.1475
1237,5.2324
1238,5.15
1239,5.149
1243,5.1725
1245,5.27
1250,5.47
1252,5.66
1258,5.95
1259,6.165
1263,6.53294
1265,6.8
1267,6.65062
1270,6.4514
1272,6.66897
1273,6.662000000000001
1274,6.693
1275,6.694
1277,6.765
1278,6.55
1282,6.87
1286,7.32
1287,7.9
1290,8.2899
1292,9.39899
1293,9.27491
1294,9.23355
1298,8.96
1299,8.76998
1306,9.54
1311,11.29112
1312,11.04
1315,11.6
1317,11.765
1318,11.86999
1319,12.17887
1326,10.29999
1336,10.8359
1338,10.18999
1352,11.99
1354,12.09
1356,12.68666
1368,12.88
1370,13.0899
1372,12.89999
1374,12.08
1380,12.0
1381,12.03
1385,11.967
1387,11.7965
1390,11.82
1396,10.85
1400,10.60097
1407,10.95899
1411,11.05
1413,11.8
1416,11.79998
1419,12.28
1420,12.43
1422,12.6
1423,12.6515
1426,12.599
1427,12.65
1431,12.96675
1432,13.5
1440,13.79989
1444,13.498
1445,13.399
1449,13.58998
1454,13.47
1458,13.59
1461,13.464
1465,13.535
1466,13.83
1472,14.3
1476,15.985
1485,17.99999
1493,21.05
1495,21.3339
1497,22.15
1500,24.1955
1504,26.99898
1505,27.070090000000004
1507,26.81565
1513,30.29777
1515,31.179
1519,34.1808
1522,40.04
1523,47.5
1529,45.01771
1533,47.11
1539,71.5
1540,63.0
1543,78.0
1551,138.79
1552,131.99899
1556,184.0
1558,198.0
1562,91.0
1563,91.0
1565,85.59999
1568,123.86
1571,136.08099
1575,128.00001
1576,135.98998999999998
1579,124.2998
1583,117.89001
1588,117.68
1590,114.32
1592,119.0
1593,114.98499
1594,115.09024
1595,124.49
1598,122.65001
1599,122.5
1602,131.5
1606,128.321
1610,129.19945
1611,120.60293
1619,104.96851
1621,108.16201
1622,109.0
1627,107.38999
1632,107.68389
1637,96.63498
1648,76.32791
1649,78.58899
1656,97.97
1658,93.41082
1669,101.89998
1671,104.19
1674,104.67459
1675,106.4
1680,102.61802
1685,98.28
1686,98.51
1687,98.39
1688,99.02
1690,104.59
1691,109.75
1692,111.01
1694,108.79
1698,119.25
1699,119.48
1700,124.79
1703,131.03
1709,118.51
1711,123.39
1713,128.45
1715,124.32
1723,122.78
1728,125.6
1734,116.95
1737,121.6
1738,123.6
1742,126.84
1743,127.53
1746,139.24
1751,165.71
1754,199.95
1755,195.78
1759,196.25
1761,203.39
1767,246.63
1770,325.56
1775,391.64
1776,416.5
1777,428.24
1778,433.53
1779,463.0
1781,559.99
1782,595.0
1785,837.99
1790,1009.0
1791,1083.9
1798,894.0
1803,886.2
1808,709.0
1810,576.16
1811,653.0
1814,637.0
1816,647.27
1823,731.0
1825,758.01
1831,825.29
1833,827.46
1837,820.75
1839,830.9
1841,801.53
1847,789.1
1848,806.0
1852,803.6
1860,778.0
1861,742.78
1865,670.0
1879,528.0
1881,585.17
1882,577.97
1883,571.5
1888,657.02
1889,621.3
1892,621.99
1894,642.1
1898,634.94
1903,579.99
1906,572.0
1908,585.7
1911,499.94
1913,457.0
1917,446.01
1919,459.67
1920,447.74
1921,454.07
1922,443.1
1923,401.0
1932,499.9
1936,487.3
1937,491.6
1938,459.15
1947,436.21
1948,427.83
1949,430.33
1957,447.49
1961,447.14
1965,523.84
1972,568.0
1975,674.98
1978,644.66
1980,655.75
1981,654.3
1985,639.99
1986,617.0
1991,597.65
1995,590.99
1997,591.5
1999,567.0
2000,569.0
2005,654.45
2011,621.98
2014,619.78
2015,630.31
2016,631.98
2018,622.8
2021,626.0
2028,601.18
2031,592.51
2038,589.79
2040,580.21
2054,487.5
2057,518.25
2059,510.75
2060,503.79
2062,514.84
2064,511.99
2065,503.88
2076,485.03
2077,469.0
2078,470.43
2081,475.3
2082,468.0
2089,423.0
2090,431.91
2104,346.26
2106,358.97
2107,359.99
2110,411.89
2111,394.0
2112,378.02
2114,389.68
2115,388.99
2119,363.99
2122,355.43
2128,327.39
2130,325.81
2132,341.99
2135,345.84
2137,375.87
2138,365.04
2143,383.65
2149,359.8
2152,381.03
2153,371.44
2165,367.01
2166,350.29
2171,353.28
2173,336.73
2178,326.93
2179,332.53
2181,327.59
2184,314.45
2185,317.5
2187,313.09
2189,315.7
2193,276.8
2197,276.8
2205,197.12
2213,247.11
2223,222.56
2230,221.99
2232,239.94
2234,243.99
2235,235.86
2236,244.0
2238,241.59
2240,245.66
2244,238.59
2249,263.81
2256,287.48
2259,297.39
2268,257.83
2269,260.5
2273,251.98
2274,248.63
2281,254.39
2282,253.77
2286,245.89
2288,235.71
2289,236.7
2294,229.62
2296,222.32
2301,235.48
2305,222.59
2308,235.13
2309,233.43
2316,244.72
2326,236.45
2330,240.5
2333,235.65
2335,235.0
2337,235.87
2346,222.6
2349,228.01
2351,229.98
2352,230.22
2360,242.47
2361,246.35
2369,262.53
2375,273.37
2382,289.9
2384,290.95
2386,277.99
2389,278.26
2394,287.12
2396,290.79
2397,295.24
2398,290.7
2400,284.78
2402,280.69
2404,285.0
2406,277.1
2407,279.39
2410,264.07
2417,257.47
2419,253.91
2423,226.04
2428,228.27
2432,230.94
2436,230.8
2441,240.08
2444,235.13
2445,229.86
2447,230.0
2450,232.99
2452,230.2
2453,226.56
2456,233.9
2459,238.94
2464,239.17
2469,243.91
2471,245.79
2473,246.63
2481,264.16
2497,437.05
2498,400.0
2500,387.38
2505,331.6
2507,331.9
2508,322.33
2510,335.95
2512,329.0
2517,321.1
2520,359.54
2528,390.04
2535,426.06
2537,445.6
2538,459.48
2544,438.7
2548,454.98
2552,431.13
2553,428.0
2554,429.34
2558,433.0
2559,431.9
2563,450.15
2564,446.24
2566,446.66
2567,429.57
2568,431.9
2569,391.62
2571,385.45
2576,385.7
2578,404.75
2580,394.12
2583,377.26
2584,378.24
2586,372.0
2587,373.48
2588,368.38
2589,385.06
2590,386.49
2592,373.74
2593,375.8
2594,372.61
2597,381.46
2599,402.38
2605,439.48
2618,416.48
2627,413.89
2632,408.87
2635,410.49
2636,415.35
2643,414.0
2644,412.35
2645,416.94
2648,418.07
2653,422.2
2655,421.63
2659,423.76
2661,429.43
2662,425.71
2666,451.0
2669,459.4
2672,447.31
2676,451.9
2677,443.9
2682,459.04
2683,457.82
2685,450.0
2691,454.88
2694,441.87
2695,441.25
2698,442.17
2700,447.94
2703,522.43
2717,594.4399875
2718,664.8465
2719,702.0665
2725,760.81
2726,729.19
2729,624.54
2730,660.6
2732,627.39
2734,646.37
2738,701.71
2740,676.32
2741,666.48
2742,673.78
2748,672.76
2751,664.57
2752,662.15
2755,672.84
2756,665.64
2770,565.05
2775,592.69
2777,592.18
2778,589.24
2779,587.75
2781,570.97
2786,576.65
2792,579.86
2793,581.07
2794,571.54
2802,610.59
2804,611.09
2808,625.76
2810,609.67
2811,610.92
2814,609.11
2815,608.0
2816,611.58
2819,598.88
2820,597.42
2823,601.74
2825,605.96
2829,614.82
2831,611.85
2835,617.21
2839,639.3
2844,641.42
2845,638.18
2846,636.29
2847,629.25
2853,655.31
2854,672.22
2855,682.22
2857,714.89
2858,698.0
2860,728.2
2861,733.33
2863,703.69
2864,704.79
2866,703.81
2871,703.71
2872,701.9
2879,729.06
2883,737.45
2884,739.78
2895,756.62
2900,768.3
2903,774.89
2904,776.75
2907,788.4
2910,824.21
2912,901.31
2915,897.33
2916,930.37
2917,967.48
2922,1015.97
2935,822.2
2938,874.99
2939,895.79
2942,918.6
2953,1007.61
2958,1050.11
2960,976.1
2964,999.87
2966,1012.32
2969,1056.63
2971,1084.75
2972,1123.78
2977,1175.04
2982,1285.14
2983,1267.02
2984,1270.93
2987,1157.39
2992,1239.81
2997,952.23
3007,1046.12
3010,1079.54
3015,1133.07
3016,1196.3
3019,1208.8
3023,1180.02
3024,1185.26
3028,1216.18
3031,1258.36
3034,1262.9
3037,1345.35
3038,1331.29
3040,1353.0
3046,1560.41
3053,1771.92
3059,1961.52
3065,2387.2
3067,2014.05
3072,2399.24
3081,2845.37
3084,2748.18
3085,2447.04
3087,2464.95
3095,2589.16
3097,2436.45
