,MKPRU
590,0.0
594,0.0667
595,0.066899
596,0.0664
597,0.066
600,0.066499
601,0.065
602,0.065
603,0.0648
605,0.06497
606,0.0649
609,0.0613
610,0.0629
612,0.06185
613,0.06201
614,0.0624
615,0.06201
619,0.0641
620,0.175
621,0.0619
622,0.0609
623,0.0609
624,0.062599
625,0.0634
626,0.0633
627,0.0628
629,0.06281
630,0.0624
631,0.062279
634,0.06219
642,0.0638
645,0.12
647,0.099
648,0.095
650,0.119
652,0.1045
653,0.103
657,0.107
659,0.19
660,0.15
661,0.19
664,0.191
665,0.1919
667,0.1975
668,0.1955
669,0.275
670,0.23601
671,0.2399
672,0.29
673,0.499999
674,0.37
676,0.2667
678,0.251
680,0.299
681,0.2828
682,0.2827
683,0.28
686,0.289
689,0.2879
690,0.28299
691,0.28299
692,0.289
694,0.28461
695,0.279
697,0.225
698,0.25
699,0.2553
700,0.2589
702,0.225
703,0.226
705,0.2388
710,0.23
713,0.255
715,0.2499
717,0.26909
719,0.25
720,0.25
721,0.25
722,0.269999
724,0.28
725,0.301
726,0.299999
727,0.299999
729,0.299996
730,0.299998
731,0.299899
732,0.298998
733,0.299
734,0.322
735,0.322898
736,0.322998
738,0.329
740,0.405
742,0.4
743,0.4
744,0.4
746,0.3401
748,0.44
751,0.443
754,0.4174
756,0.446
757,0.48
760,0.8400989999999999
761,0.75
763,0.9167
764,0.92
765,0.90585
766,0.9
770,1.0899
771,1.08
772,1.08
773,1.085
774,1.05019
777,1.02
780,0.869499
781,0.95
782,0.9499
783,1.0
785,0.96
787,0.97
788,0.9498
790,0.9392
793,0.909
796,0.87
797,0.9329
798,0.9197
799,0.9196
800,0.9
801,0.899885
803,0.88
806,0.79
807,0.7883
808,0.799646
809,0.85
811,0.89
812,0.905
813,0.8958
815,0.8
816,0.795
817,0.80098
818,0.79997
819,0.79697
820,0.7998
821,0.79
823,0.747844
824,0.7677
826,0.7676
827,0.758899
830,1.0
831,0.94
832,1.08999
834,1.085
837,1.1979
840,1.5490000000000002
842,1.7009999999999998
844,1.95
845,2.65
846,2.7
854,3.7
856,3.937
857,5.2
859,5.94998
861,8.9
