Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
2009/1/3,1,0,0,50,2,0,0,0.000271797,0,0,0,,0,0,0,50,0,0,1,1,1,1,1,0
2009/1/4,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2009/1/5,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2009/1/6,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2009/1/7,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2009/1/8,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2009/1/9,1,0,0,750,2,0,0,0.00020504,0,0,0,6.96E-07,0,0,0,700,0,0,1,14,14,15,14,0
2009/1/10,1,0,0,2300,2,0,0,0.00020504,0,0,0,1.54E-06,0,0,0,1550,0,0,1,31,31,46,31,0
2009/1/11,1,0,0,7600,2,0,0,0.000205409,0,0,0,5.27E-06,0,0,0,5300,0,0,1,106,106,152,106,0
2009/1/12,1,0,0,12050,2,0,0,0.000221477,0,0,0,4.42E-06,0,18541.66667,0,4601,0,24,1,96,95,247,95,0
2009/1/13,1,0,0,17800,2,0,0,0.000207976,0,0,0,5.72E-06,0,57500,0,5778,0,10,1,117,116,363,116,0
2009/1/14,1,0,0,24100,2,0,0,0.000205888,0,0,0,6.26E-06,0,0,0,6300,0,0,1,126,126,489,126,0
2009/1/15,1,0,0,30450,2,0,0,0.000230549,0,0,0,6.31E-06,0,1533.816425,0,6911,0,414,1,136,136,625,136,0
2009/1/16,1,0,0,36250,2,0,0,0.000208189,0,0,0,5.77E-06,0,5800,0,5900,0,100,1,117,117,742,117,0
2009/1/17,1,0,0,41650,2,0,0,0.000208122,0,0,0,5.37E-06,0,5400,0,5500,0,100,1,109,109,851,109,0
2009/1/18,1,0,0,46700,2,0,0,0.000205946,0,0,0,5.02E-06,0,0,0,5050,0,0,1,101,101,952,101,0
2009/1/19,1,0,0,52650,2,0,0,0.000209384,0,0,0,5.92E-06,0,3966.666667,0,6100,0,150,1,120,120,1072,120,0
2009/1/20,1,0,0,58450,2,0,0,0.000221984,0,0,0,5.77E-06,0,748.3870968,0,6575,0,775,1,118,118,1190,118,0
2009/1/21,1,0,0,64100,2,0,0,0.000216999,0,0,0,5.62E-06,0,1130,0,6150,0,500,1,115,115,1305,115,0
2009/1/22,1,0,0,67850,2,0,0,0.000220744,0,0,0,3.73E-06,0,750,0,4250,0,500,1,76,76,1381,76,0
2009/1/23,1,0,0,71200,2,0,0,0.000211659,0,0,0,3.33E-06,0,2233.333333,0,3500,0,150,1,68,68,1449,68,0
2009/1/24,1,0,0,81150,2,0,0,0.000215262,0,0,0,9.89E-06,0,1243.75,0,10750,0,800,1,201,201,1650,201,0
2009/1/25,1,0,0,90850,2,0,0,0.000206918,0,0,0,9.64E-06,0,19400,0,9750,0,50,1,195,195,1845,195,0
2009/1/26,1,0,0,96650,2,0,0,0.000205854,0,0,0,5.77E-06,0,0,0,5800,0,0,1,116,116,1961,116,0
2009/1/27,1,0,0,101800,2,0,0,0.000231289,0,0,0,5.12E-06,0,447.826087,0,6300,0,1150,1,105,105,2066,105,0
2009/1/28,1,0,0,106950,2,0,0,0.000205781,0,0,0,5.12E-06,0,0,0,5150,0,0,1,103,103,2169,103,0
2009/1/29,1,0,0,113050,2,0,0,0.000205486,0,0,0,6.06E-06,0,0,0,6100,0,0,1,122,122,2291,122,0
2009/1/30,1,0,0,119100,2,0,0,0.000217044,0,0,0,6.01E-06,0,1008.333333,0,6650,0,600,1,122,122,2413,122,0
2009/1/31,1,0,0,125550,2,0,0,0.000205572,0,0,0,6.41E-06,0,0,0,6450,0,0,1,129,129,2542,129,0
2009/2/1,1,0,0,131350,2,0,0,0.000227196,0,0,0,5.77E-06,0,527.2727273,0,6900,0,1100,1,118,118,2660,118,0
2009/2/2,1,0,0,137700,2,0,0,0.000205836,0,0,0,6.31E-06,0,0,0,6350,0,0,1,127,127,2787,127,0
2009/2/3,1,2.01,0,144500,2,0,0,0.000233075,0,0,0,6.76E-06,0,5911.184496,0,7436.52,0,115,1,145,150,2937,150,0
2009/2/4,1,0,0,150650,2,0,0,0.000212088,0,0,0,6.11E-06,0,16171.4436,0,6300,0,38,1,129,126,3063,126,0
2009/2/5,1,0,0,156700,2,0,0,0.000205726,0,0,0,6.01E-06,0,0,0,6050,0,0,1,121,121,3184,121,0
2009/2/6,1,0,0,163150,2,0,0,0.000205816,0,0,0,6.41E-06,0,0,0,6450,0,0,1,129,129,3313,129,0
2009/2/7,1,0,0,169450,2,0,0,0.000229752,0,0,0,6.26E-06,0,547.826087,0,7498,0,1150,1,131,130,3443,130,0
2009/2/8,1,0,0,176150,2,0,0,0.000207453,0,0,0,6.66E-06,0,670,0,7700,0,1000,1,135,135,3578,135,0
2009/2/9,1,0,0,182550,2,0,0,0.000243552,0,0,0,6.36E-06,0,290.9090909,0,8600,0,2200,1,129,129,3707,129,0
2009/2/10,1,0,0,188900,2,0,0,0.000205678,0,0,0,6.31E-06,0,0,0,6350,0,0,1,127,127,3834,127,0
2009/2/11,1,0,0,195450,2,0,0,0.000214766,0,0,0,6.51E-06,0,1871.214718,0,6900.04,0,350,1,132,132,3966,132,0
2009/2/12,1,0,0,201350,2,0,0,0.000210269,0,0,0,5.87E-06,0,2950,0,6100,0,200,1,119,119,4085,119,0
2009/2/13,1,0,0,207550,2,0,0,0.000205863,0,0,0,6.16E-06,0,0,0,6200,0,0,1,124,124,4209,124,0
2009/2/14,1,0,0,214600,2,0,0,0.000205865,0,0,0,7.01E-06,0,0,0,7050,0,0,1,141,141,4350,141,0
2009/2/15,1,0,0,220700,2,0,0,0.000219322,0,0,0,6.06E-06,0,677.7777778,0,7000,0,900,1,125,125,4475,125,0
2009/2/16,1,0,0,226850,2,0,0,0.000205885,0,0,0,6.11E-06,0,0,0,6150,0,0,1,123,123,4598,123,0
2009/2/17,1,0,0,232750,2,0,0,0.000233763,0,0,0,5.87E-06,0,393.3333333,0,7400,0,1500,1,119,119,4717,119,0
