,Unnamed: 0,Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
0,0,2009-01-03,1.0,0.0,0.0,50.0,2.0,0.0,0.0,0.000271797180176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1,2009-01-04,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,2,2009-01-05,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,3,2009-01-06,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,5,2009-01-08,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,7,2009-01-10,1.0,0.0,0.0,2300.0,2.0,0.0,0.0,0.000205039978027,0.0,0.0,0.0,1.5410183585200001e-06,0.0,0.0,0.0,1550.0,0.0,0.0,1.0,31.0,31.0,46.0,31.0,0.0
8,8,2009-01-11,1.0,0.0,0.0,7600.0,2.0,0.0,0.0,0.00020540885205500004,0.0,0.0,0.0,5.26928858074e-06,0.0,0.0,0.0,5300.0,0.0,0.0,1.0,106.0,106.0,152.0,106.0,0.0
9,9,2009-01-12,1.0,0.0,0.0,12050.0,2.0,0.0,0.0,0.000221477465683,0.0,0.0,0.0,4.42421399704e-06,0.0,18541.6666667,0.0,4601.0,0.0,24.0,1.0,96.0,95.0,247.0,95.0,0.0
10,10,2009-01-13,1.0,0.0,0.0,17800.0,2.0,0.0,0.0,0.000207975636358,0.0,0.0,0.0,5.71668100741e-06,0.0,57500.0,0.0,5778.0,0.0,10.0,1.0,117.0,116.0,363.0,116.0,0.0
11,11,2009-01-14,1.0,0.0,0.0,24100.0,2.0,0.0,0.0,0.000205887688531,0.0,0.0,0.0,6.26349397333e-06,0.0,0.0,0.0,6300.0,0.0,0.0,1.0,126.0,126.0,489.0,126.0,0.0
12,12,2009-01-15,1.0,0.0,0.0,30450.0,2.0,0.0,0.0,0.00023054888868,0.0,0.0,0.0,6.31320424296e-06,0.0,1533.81642512,0.0,6911.0,0.0,414.0,1.0,136.0,136.0,625.0,136.0,0.0
14,14,2009-01-17,1.0,0.0,0.0,41650.0,2.0,0.0,0.0,0.00020812175892,0.0,0.0,0.0,5.36870912e-06,0.0,5400.0,0.0,5500.0,0.0,100.0,1.0,109.0,109.0,851.0,109.0,0.0
15,15,2009-01-18,1.0,0.0,0.0,46700.0,2.0,0.0,0.0,0.00020594644074400004,0.0,0.0,0.0,5.02073723259e-06,0.0,0.0,0.0,5050.0,0.0,0.0,1.0,101.0,101.0,952.0,101.0,0.0
17,17,2009-01-20,1.0,0.0,0.0,58450.0,2.0,0.0,0.0,0.000221984139804,0.0,0.0,0.0,5.76639127704e-06,0.0,748.3870967739999,0.0,6575.0,0.0,775.0,1.0,118.0,118.0,1190.0,118.0,0.0
19,19,2009-01-22,1.0,0.0,0.0,67850.0,2.0,0.0,0.0,0.000220743815104,0.0,0.0,0.0,3.7282702222199996e-06,0.0,750.0,0.0,4250.0,0.0,500.0,1.0,76.0,76.0,1381.0,76.0,0.0
20,20,2009-01-23,1.0,0.0,0.0,71200.0,2.0,0.0,0.0,0.000211658762462,0.0,0.0,0.0,3.3305880651900002e-06,0.0,2233.33333333,0.0,3500.0,0.0,150.0,1.0,68.0,68.0,1449.0,68.0,0.0
21,21,2009-01-24,1.0,0.0,0.0,81150.0,2.0,0.0,0.0,0.000215262024846,0.0,0.0,0.0,9.8923436563e-06,0.0,1243.75,0.0,10750.0,0.0,800.0,1.0,201.0,201.0,1650.0,201.0,0.0
24,24,2009-01-27,1.0,0.0,0.0,101800.0,2.0,0.0,0.0,0.000231289169163,0.0,0.0,0.0,5.120157771849998e-06,0.0,447.826086957,0.0,6300.0,0.0,1150.0,1.0,105.0,105.0,2066.0,105.0,0.0
25,25,2009-01-28,1.0,0.0,0.0,106950.0,2.0,0.0,0.0,0.000205780695943,0.0,0.0,0.0,5.120157771849998e-06,0.0,0.0,0.0,5150.0,0.0,0.0,1.0,103.0,103.0,2169.0,103.0,0.0
26,26,2009-01-29,1.0,0.0,0.0,113050.0,2.0,0.0,0.0,0.00020548554717500004,0.0,0.0,0.0,6.06465289481e-06,0.0,0.0,0.0,6100.0,0.0,0.0,1.0,122.0,122.0,2291.0,122.0,0.0
27,27,2009-01-30,1.0,0.0,0.0,119100.0,2.0,0.0,0.0,0.000217043663845,0.0,0.0,0.0,6.0149426251899985e-06,0.0,1008.33333333,0.0,6650.0,0.0,600.0,1.0,122.0,122.0,2413.0,122.0,0.0
28,28,2009-01-31,1.0,0.0,0.0,125550.0,2.0,0.0,0.0,0.00020557226136700004,0.0,0.0,0.0,6.41262478222e-06,0.0,0.0,0.0,6450.0,0.0,0.0,1.0,129.0,129.0,2542.0,129.0,0.0
29,29,2009-02-01,1.0,0.0,0.0,131350.0,2.0,0.0,0.0,0.000227196463223,0.0,0.0,0.0,5.76639127704e-06,0.0,527.272727273,0.0,6900.0,0.0,1100.0,1.0,118.0,118.0,2660.0,118.0,0.0
30,30,2009-02-02,1.0,0.0,0.0,137700.0,2.0,0.0,0.0,0.000205835958165,0.0,0.0,0.0,6.31320424296e-06,0.0,0.0,0.0,6350.0,0.0,0.0,1.0,127.0,127.0,2787.0,127.0,0.0
32,32,2009-02-04,1.0,0.0,0.0,150650.0,2.0,0.0,0.0,0.000212087863829,0.0,0.0,0.0,6.11436316444e-06,0.0,16171.4435972,0.0,6300.0,0.0,38.0,1.0,129.0,126.0,3063.0,126.0,0.0
36,36,2009-02-08,1.0,0.0,0.0,176150.0,2.0,0.0,0.0,0.000207452631708,0.0,0.0,0.0,6.6611761303699995e-06,0.0,670.0,0.0,7700.0,0.0,1000.0,1.0,135.0,135.0,3578.0,135.0,0.0
37,37,2009-02-09,1.0,0.0,0.0,182550.0,2.0,0.0,0.0,0.000243552029133,0.0,0.0,0.0,6.36291451259e-06,0.0,290.90909090900004,0.0,8600.0,0.0,2200.0,1.0,129.0,129.0,3707.0,129.0,0.0
38,38,2009-02-10,1.0,0.0,0.0,188900.0,2.0,0.0,0.0,0.00020567826398700006,0.0,0.0,0.0,6.31320424296e-06,0.0,0.0,0.0,6350.0,0.0,0.0,1.0,127.0,127.0,3834.0,127.0,0.0
40,40,2009-02-12,1.0,0.0,0.0,201350.0,2.0,0.0,0.0,0.000210269022796,0.0,0.0,0.0,5.8658118163e-06,0.0,2950.0,0.0,6100.0,0.0,200.0,1.0,119.0,119.0,4085.0,119.0,0.0
41,41,2009-02-13,1.0,0.0,0.0,207550.0,2.0,0.0,0.0,0.000205862906671,0.0,0.0,0.0,6.16407343407e-06,0.0,0.0,0.0,6200.0,0.0,0.0,1.0,124.0,124.0,4209.0,124.0,0.0
43,43,2009-02-15,1.0,0.0,0.0,220700.0,2.0,0.0,0.0,0.000219321641766,0.0,0.0,0.0,6.06465289481e-06,0.0,677.7777777780001,0.0,7000.0,0.0,900.0,1.0,125.0,125.0,4475.0,125.0,0.0
