,Unnamed: 0,Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
0,0,2009-01-03,1.0,0.0,0.0,50.0,2.0,0.0,0.0,0.000271797180176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
3,3,2009-01-06,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,5,2009-01-08,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,6,2009-01-09,1.0,0.0,0.0,750.0,2.0,0.0,0.0,0.000205039978027,0.0,0.0,0.0,6.95943774815e-07,0.0,0.0,0.0,700.0,0.0,0.0,1.0,14.0,14.0,15.0,14.0,0.0
7,7,2009-01-10,1.0,0.0,0.0,2300.0,2.0,0.0,0.0,0.000205039978027,0.0,0.0,0.0,1.54101835852e-06,0.0,0.0,0.0,1550.0,0.0,0.0,1.0,31.0,31.0,46.0,31.0,0.0
8,8,2009-01-11,1.0,0.0,0.0,7600.0,2.0,0.0,0.0,0.000205408852055,0.0,0.0,0.0,5.26928858074e-06,0.0,0.0,0.0,5300.0,0.0,0.0,1.0,106.0,106.0,152.0,106.0,0.0
11,11,2009-01-14,1.0,0.0,0.0,24100.0,2.0,0.0,0.0,0.000205887688531,0.0,0.0,0.0,6.26349397333e-06,0.0,0.0,0.0,6300.0,0.0,0.0,1.0,126.0,126.0,489.0,126.0,0.0
12,12,2009-01-15,1.0,0.0,0.0,30450.0,2.0,0.0,0.0,0.00023054888868,0.0,0.0,0.0,6.31320424296e-06,0.0,1533.81642512,0.0,6911.0,0.0,414.0,1.0,136.0,136.0,625.0,136.0,0.0
14,14,2009-01-17,1.0,0.0,0.0,41650.0,2.0,0.0,0.0,0.00020812175892,0.0,0.0,0.0,5.36870912e-06,0.0,5400.0,0.0,5500.0,0.0,100.0,1.0,109.0,109.0,851.0,109.0,0.0
15,15,2009-01-18,1.0,0.0,0.0,46700.0,2.0,0.0,0.0,0.000205946440744,0.0,0.0,0.0,5.02073723259e-06,0.0,0.0,0.0,5050.0,0.0,0.0,1.0,101.0,101.0,952.0,101.0,0.0
